removed,reason
orange juice (liquid),environmental material
cell culture,environmental material
cultured organic material,environmental material
jack bean (whole),environmental material
plastic,environmental material
coffee based beverage product,environmental material
alluvial soil,environmental material
magma,environmental material
luvisol,environmental material
congelation ice in a fresh water body,environmental material
liquid water,environmental material
distilled fermented beverage,environmental material
atmospheric ozone,environmental material
Limburger cheese food product,environmental material
mammalian meat food product,environmental material
loam,environmental material
non-fruit wine food product,environmental material
"extract, concentrate or isolate of plant or animal",environmental material
soybean condiment,environmental material
chocolate or cocoa,environmental material
glaze,environmental material
algal material,environmental material
dolomite,environmental material
nitisol,environmental material
sausage (whole),environmental material
natural wax,environmental material
heat-treated animal manure,environmental material
material primarily composed of biogenic carbonates,environmental material
apple cider (alcoholic),environmental material
prepared food product,environmental material
terrigenous sediment,environmental material
cattle dairy food product,environmental material
dessert food,environmental material
food (baked),environmental material
thermophilic sediment,environmental material
plant based refined or partially-refined food product,environmental material
calcareous ooze,environmental material
asbestos dust,environmental material
hard-frozen soil,environmental material
depth hoar,environmental material
lupin seed food product,environmental material
multi-component food product,environmental material
liquid environmental material,environmental material
sandy clay,environmental material
granular sediment,environmental material
fermented apple beverage,environmental material
rye food product,environmental material
clathrate material,environmental material
milk dessert food product,environmental material
oil sludge,environmental material
powdery snow,environmental material
asphalt,environmental material
cabbage food product,environmental material
industrial wastewater,environmental material
solanaceous root food product,environmental material
cucurbit fruit food product,environmental material
blood material,environmental material
asphalt concrete,environmental material
hide,environmental material
clastic sedimentary rock,environmental material
ultisol,environmental material
latex,environmental material
atmospheric carbon dioxide,environmental material
arsenic-rich mud,environmental material
cement plaster,environmental material
epipelon,environmental material
synthetic plastic,environmental material
50221200 - processed cereal products (gs1 gpc),environmental material
pork (dehydrated),environmental material
coarse beach sand,environmental material
salad food product,environmental material
"velvet bean (whole, dried)",environmental material
farmyard manure,environmental material
plant seed or nut food product,environmental material
biogas,environmental material
invertebrate animal food product,environmental material
apple beverage,environmental material
pont ieveque cheese food product,environmental material
pantothenate enriched soil,environmental material
vinegar food product,environmental material
grape berry food product,environmental material
candy (us cfr),environmental material
planktonic material,environmental material
hay,environmental material
muskmelon (Cucumis melo) fruit food product,environmental material
crystal,environmental material
USA agency food product type,environmental material
Codex Alimentarius classification of food and feed commodities,environmental material
flaxseed oil,environmental material
manganese-reducing sediment,environmental material
mammalian milk butter,environmental material
marine mucilage,environmental material
water scum,environmental material
sediment permeated by freshwater,environmental material
liquefied petroleum gas,environmental material
desalinated water,environmental material
necromass,environmental material
stormwater,environmental material
hydrocarbon gas,environmental material
European Union agency food product type,environmental material
pumice,environmental material
water vapour saturated air,environmental material
plaster,environmental material
haze,environmental material
nut oil food product,environmental material
intertidal sediment,environmental material
pharmaceutical ink,environmental material
sea foam,environmental material
animal waste material,environmental material
goat manure,environmental material
vitreous humor material,environmental material
oyster food product,environmental material
spruce forest soil,environmental material
cowpea (pulse) food product,environmental material
mafic lava,environmental material
chicken breeding waste material,environmental material
maize (corn) food product,environmental material
soil organic matter,environmental material
soybean seed (field) food product,environmental material
food waste,environmental material
food (fermented),environmental material
swine food product,environmental material
oil,environmental material
multi-component plant food product,environmental material
gasoline vapor,environmental material
"coffee, tea, cocoa or infusion (eurofir)",environmental material
pate,environmental material
vacherin mont dor cheese food product,environmental material
marine lake water,environmental material
soldering fumes,environmental material
cow milk dessert,environmental material
goose meat food product,environmental material
mucus material,environmental material
pomaceous fruit juice beverage,environmental material
plant seed food product,environmental material
dune soil,environmental material
rice straw,environmental material
electroplating fume,environmental material
atmospheric aerosol,environmental material
swiss cheese food product,environmental material
food product by organism,environmental material
arable soil,environmental material
ore,environmental material
alluvial deposit,environmental material
mesophilic sediment,environmental material
steeped beverage product,environmental material
drinking water,environmental material
beef (dehydrated),environmental material
alpine soil,environmental material
gouda cheese food product,environmental material
legume food product,environmental material
food (cooked),environmental material
smoked meat food product,environmental material
salt pork meat food product,environmental material
fermented agave juice,environmental material
hydrothermal fluid,environmental material
fracking liquid,environmental material
secondary sludge,environmental material
cooling water,environmental material
fog,environmental material
plant feed,environmental material
andosol,environmental material
acrylic paint,environmental material
water vapour,environmental material
glacial ice,environmental material
milk formula food product,environmental material
alluvial paddy field soil,environmental material
cloud water,environmental material
sterile water,environmental material
horse manure,environmental material
acetamide enriched soil,environmental material
food (preserved),environmental material
bacteria enriched soil,environmental material
vertebrate animal food product,environmental material
bean food product,environmental material
velvet bean food product,environmental material
bakery food product,environmental material
petroleum enriched sediment,environmental material
ice-bearing permafrost,environmental material
new ice,environmental material
farm soil,environmental material
pork food product,environmental material
coal,environmental material
urine material,environmental material
slurry,environmental material
foamed plastic,environmental material
grain dust,environmental material
sheep milk cheese (unpasteurized),environmental material
cryoconite deposit,environmental material
cream food product,environmental material
plant seed based bakery food product,environmental material
mangrove biome soil,environmental material
turkey meat food product,environmental material
cocoa beverage,environmental material
fonio food product,environmental material
ground beef food product,environmental material
hoar crystal,environmental material
inorganically enriched sediment,environmental material
borax leachate,environmental material
poultry manure,environmental material
creosote contaminated soil,environmental material
plant matter,environmental material
periphytic biofilm,environmental material
soil,environmental material
grain of sea sand,environmental material
particle of clay,environmental material
fecal environment,environmental material
environment determined by a biofilm on a plant surface,environmental material
brackish water environment,environmental material
grain of acid dune sand,environmental material
particle,environmental material
pycnocline,environmental material
grain of rocky sand,environmental material
cryopeg,environmental material
nutricline,environmental material
hypersaline water environment,environmental material
lysocline,environmental material
grain of beach sand,environmental material
chemocline,environmental material
aquatic environment,environmental material
non-saline aerosol environment,environmental material
particle of silt,environmental material
marine littoral zone,environmental material
aerosol environment,environmental material
sterile water environment,environmental material
sediment environment,environmental material
rhizosphere,environmental material
cloud condensation nucleus,environmental material
environmental system determined by a material,environmental material
non-saline sediment environment,environmental material
thermocline,environmental material
saline aerosol environment,environmental material
littoral zone,environmental material
water surface,environmental material
marine lysocline,environmental material
iron-reducing zone of petroleum contaminated sediment,environmental material
freshwater littoral zone,environmental material
freshwater environment,environmental material
environment determined by a biofilm on a non-saline surface,environmental material
environment determined by a biofilm on an animal surface,environmental material
environment determined by a biofilm on a fungal surface,environmental material
grain of desert sand,environmental material
saline sediment environment,environmental material
soil environment,environmental material
particle of sand,environmental material
environment determined by a biofilm on a saline surface,environmental material
sediment surface,environmental material
saline environment,environmental material
saline water environment,environmental material
fluid cline,environmental material
safe environment for living organisms,environmental system
cultivated environment,environmental system
pocasin,environmental system
dry woodland,environmental system
montane forest,environmental system
feed storage space,environmental system
tropical moist broadleaf forest,environmental system
human settlement,environmental system
ecosystem,environmental system
peatland,environmental system
extreme high temperature environment,environmental system
haline environment,environmental system
village,environmental system
aquaculture farm,environmental system
flood meadow ecosystem,environmental system
temperate broadleaf forest,environmental system
occupational environment,environmental system
meadow ecosystem,environmental system
tropical broadleaf forest,environmental system
feedlot,environmental system
city,environmental system
food production medium-risk contamination area,environmental system
tropical marine semi-evergreen forest,environmental system
noisy environment,environmental system
raised mire,environmental system
laboratory environment,environmental system
extraterrestrial environment,environmental system
dome swamp,environmental system
ecosystem fragment,environmental system
ecozone,environmental system
cypress swamp,environmental system
informal settlement,environmental system
tidal mudflat,environmental system
sparsely populated settlement,environmental system
wet meadow ecosystem,environmental system
dambo,environmental system
mixed grassland,environmental system
tropical environment,environmental system
montane conifer woodland,environmental system
high temperature environment,environmental system
tundra ecosystem,environmental system
food production high-risk contamination area,environmental system
intermittent wetland,environmental system
juniper woodland,environmental system
environmental monitoring area,environmental system
natural monument,environmental system
tropical mixed needleleaf forest,environmental system
temperate sclerophyllous dry forest,environmental system
tropical mixed forest,environmental system
blanket bog,environmental system
carr,environmental system
mediterranean grassland,environmental system
sclerophyllous forest,environmental system
subpolar grassland,environmental system
conifer woodland,environmental system
Bondon cheese environment,environmental system
habitat,environmental system
mudflat,environmental system
mangrove swamp,environmental system
tropical freshwater swamp forest,environmental system
safe environment,environmental system
environment associated with an animal part or small animal,environmental system
Calyptra habitat,environmental system
disturbed ecosystem,environmental system
rhizosphere environment,environmental system
saline marsh,environmental system
terrestrial ecoregion,environmental system
anthropogenic environment,environmental system
swamp forest,environmental system
cloud forest,environmental system
non-saline environment,environmental system
ecological province,environmental system
string mire,environmental system
lacustrine mudflat,environmental system
wetland ecosystem,environmental system
agricultural terrace,environmental system
tropical sclerophyllous dry forest,environmental system
tropical upper montane forest,environmental system
endolithic environment,environmental system
culturing environment,environmental system
cypress dome,environmental system
food production low-risk contamination area,environmental system
dense settlement,environmental system
manure storage space,environmental system
polar tree-line ecotone,environmental system
broadleaf forest,environmental system
montane grassland,environmental system
environmental monitoring program area,environmental system
alpine tundra ecosystem,environmental system
terrestrial ecosystem,environmental system
ecotone,environmental system
fish farm,environmental system
climate system,environmental system
tropical dry broadleaf forest,environmental system
tropical thorn forest,environmental system
woodland ecosystem,environmental system
food prossessing non-production area,environmental system
tundra mire,environmental system
safe environment for human presence,environmental system
subtropical moist broadleaf forest,environmental system
high osmolarity environment,environmental system
apiary,environmental system
lichen woodland,environmental system
environment determined by a plant substance,environmental system
temperate mixed forest,environmental system
flooded grassland,environmental system
primary forest,environmental system
fluvial dambo,environmental system
fen,environmental system
cropland ecosystem,environmental system
ecoregion,environmental system
legal settlement,environmental system
hydromorphic/phreatic dambo,environmental system
temperate environment,environmental system
double tree line ecotone,environmental system
illegal informal settlement,environmental system
swamp ecosystem,environmental system
Paramo,environmental system
subtropical forest,environmental system
forest ecosystem,environmental system
shady environment,environmental system
acidic environment,environmental system
planted forest,environmental system
natural environment,environmental system
subpolar environment,environmental system
cnidarian-associated environment,environmental system
subtropical grassland,environmental system
grassland ecosystem,environmental system
agricultural ecosystem,environmental system
tropical lower montane forest,environmental system
subtropical dry broadleaf forest,environmental system
freshwater marsh,environmental system
child care environment,environmental system
plant-associated environment,environmental system
freshwater wetland ecosystem,environmental system
desert-alpine tree line ecotone,environmental system
planetary subsurface environment,environmental system
environmental system determined by a quality,environmental system
experimental forest ecosystem,environmental system
healthcare environment,environmental system
animal-associated environment,environmental system
mediterranean forest,environmental system
temperate grassland,environmental system
anthropised ecosystem,environmental system
palsa mire,environmental system
mixed forest,environmental system
temperate freshwater swamp forest,environmental system
cypress strand swamp,environmental system
temperate forest,environmental system
drylot,environmental system
alkaline environment,environmental system
ecological corridor,environmental system
tropical grassland,environmental system
migration path,environmental system
tropical forest,environmental system
violent environment,environmental system
illegal settlement,environmental system
outdoor environment,environmental system
peat swamp,environmental system
coastal wetland ecosystem,environmental system
household environment,environmental system
desert ecosystem,environmental system
environmental system determined by an organism,environmental system
strand swamp,environmental system
tree line ecotone,environmental system
pinyon juniper woodland,environmental system
marsh,environmental system
attractive environment,environmental system
alpine tree line ecotone,environmental system
hygienic food production area,environmental system
environment associated with an aquatic invertebrate,environmental system
saline wetland,environmental system
terrestrial natural environment,environmental system
subtropical environment,environmental system
non-saline planetary subsurface environment,environmental system
food desert,environmental system
cold environment,environmental system
tropical mangrove,environmental system
desert tree line ecotone,environmental system
food production environmental monitoring zone,environmental system
polar environment,environmental system
environment associated with a plant part or small plant,environmental system
oak woodland,environmental system
residential environment,environmental system
moor,environmental system
sphagnum bog,environmental system
intertidal ecosystem,environmental system
polar tundra ecosystem,environmental system
formal settlement,environmental system
high pressure environment,environmental system
environmental system,environmental system
needleleaf forest,environmental system
subtropical broadleaf forest,environmental system
tropical mixed broadleaf forest,environmental system
understory,environmental system
divergent plate boundary,environmental system
crater zone,environmental system
lagoon,environmental system
environmental zone of processual equilibrium,environmental system
continental subsurface zone,environmental system
oceanic subsurface zone,environmental system
food production environmental monitoring zone 1,environmental system
forest canopy,environmental system
litter layer,environmental system
temperate mountain,environmental system
crop canopy,environmental system
environmental zone,environmental system
volcanic crater zone,environmental system
ice ablation zone,environmental system
populated place,environmental system
convergent plate boundary,environmental system
shrub layer,environmental system
material accumulation zone,environmental system
subsurface zone of an astronomical body,environmental system
manure pit,environmental system
woodland canopy,environmental system
material decumulation zone,environmental system
tectonic plate boundary,environmental system
food production environmental monitoring zone 3,environmental system
ice accumulation zone,environmental system
atmospheric zone,environmental system
glacial ice ablation zone,environmental system
glacial equlibrium line,environmental system
food production environmental monitoring zone 4,environmental system
transform plate boundary,environmental system
canopy,environmental system
atmospheric boundary layer,environmental system
food production environmental monitoring zone 2,environmental system
ice decumulation zone,environmental system
planetary subsurface zone,environmental system
polar mountain,environmental system
glacial ice accumulation zone,environmental system
herb and fern layer,environmental system
palsa,environmental system
vegetation layer,environmental system
tropical mountain,environmental system
boundary layer,environmental system
IUCN habitat/species management area,fiat part of an astronomical object
area of protected biodiversity,fiat part of an astronomical object
area designated as a national nature reserve,fiat part of an astronomical object
IUCN protected area with sustainable use of natural resources,fiat part of an astronomical object
area designated for waste storage,fiat part of an astronomical object
administrative region,fiat part of an astronomical object
wildlife management area,fiat part of an astronomical object
area protected according to IUCN guidelines,fiat part of an astronomical object
IUCN natural monument or feature,fiat part of an astronomical object
biosphere reserve,fiat part of an astronomical object
IUCN national park,fiat part of an astronomical object
Superfund site,fiat part of an astronomical object
marine park area,fiat part of an astronomical object
demilitarized zone,fiat part of an astronomical object
area of ice cover,fiat part of an astronomical object
area of perennial water ice,fiat part of an astronomical object
area of seasonal sea ice,fiat part of an astronomical object
fiat part of an astronomical object,fiat part of an astronomical object
IUCN protected landscape/seascape,fiat part of an astronomical object
area of perennial ice or snow,fiat part of an astronomical object
area of perennial snow,fiat part of an astronomical object
third-order administrative region,fiat part of an astronomical object
IUCN wilderness area,fiat part of an astronomical object
national wildlife refuge,fiat part of an astronomical object
Ramsar site,fiat part of an astronomical object
world heritage site,fiat part of an astronomical object
area designated for human defecation,fiat part of an astronomical object
fourth-order administrative region,fiat part of an astronomical object
area of attached faunal communities,fiat part of an astronomical object
atmospheric column,fiat part of an astronomical object
IUCN strict nature reserve,fiat part of an astronomical object
second-order administrative region,fiat part of an astronomical object
key biodiversity area,fiat part of an astronomical object
site of special scientific interest,fiat part of an astronomical object
buffer zone,fiat part of an astronomical object
protected area,fiat part of an astronomical object
first-order administrative region,fiat part of an astronomical object
area designated as a nature reserve,fiat part of an astronomical object
area of national forest,fiat part of an astronomical object
water column,fluid astronomical body part
plume,fluid astronomical body part
fluid astronomical body part,fluid astronomical body part
liquid planetary core,fluid astronomical body part
gaseous astronomical body part,fluid astronomical body part
waterspout,fluid astronomical body part
area of low atmospheric pressure,fluid astronomical body part
asphalt road,fluid astronomical body part
hydrosphere,fluid astronomical body part
gaseous part of an atmosphere,fluid astronomical body part
area of high atmospheric pressure,fluid astronomical body part
atmospheric Taylor column,fluid astronomical body part
liquid astronomical body part,fluid astronomical body part
water-based planetary surface,fluid astronomical body part
marine Taylor column,fluid astronomical body part
multiple vortex tornado,fluid astronomical body part
bubble plume,fluid astronomical body part
Karman vortex street,fluid astronomical body part
tornado,fluid astronomical body part
fire whirl,fluid astronomical body part
aeroform,fluid astronomical body part
oil seep,fluid astronomical body part
freshwater spring,fluid astronomical body part
landspout,fluid astronomical body part
Taylor column,fluid astronomical body part
atmospheric frontal zone,fluid astronomical body part
field hospital,healthcare facility
family practice clinic,healthcare facility
diagnostic imaging unit facility,healthcare facility
psychiatric intensive care unit facility,healthcare facility
micobiology unit facility,healthcare facility
healthcare facility,healthcare facility
geriatric care unit facility,healthcare facility
chiropractic clinic,healthcare facility
nephrology unit facility,healthcare facility
nutrition and dietetics unit facility,healthcare facility
tertiary referral hospital,healthcare facility
pharmacy,healthcare facility
geriatric intensive care unit facility,healthcare facility
gynaecology unit facility,healthcare facility
ophthalmology clinic,healthcare facility
pediatric unit facility,healthcare facility
emergency unit facility,healthcare facility
intensive care unit facility,healthcare facility
pharmacy unit facility,healthcare facility
surgical intensive care unit facility,healthcare facility
neonatal intensive care unit facility,healthcare facility
physician office,healthcare facility
pediatric intensive care unit facility,healthcare facility
anaesthetics unit facility,healthcare facility
clinical patient assessment facility,healthcare facility
general surgery unit facility,healthcare facility
urology unit facility,healthcare facility
breast screening unit facility,healthcare facility
community health centre,healthcare facility
hospital unit facility,healthcare facility
hospital,healthcare facility
post-anesthesia care unit facility,healthcare facility
pain management unit facility,healthcare facility
optometry clinic,healthcare facility
rheumatology unit facility,healthcare facility
pain clinic,healthcare facility
gastroenterology unit facility,healthcare facility
physiotherapy unit facility,healthcare facility
chaplaincy unit facility,healthcare facility
walk-in clinic,healthcare facility
dental clinic,healthcare facility
medical clinic,healthcare facility
massage therapy clinic,healthcare facility
ophthalmology unit facility,healthcare facility
radiotherapy unit facility,healthcare facility
haematology unit facility,healthcare facility
occupational therapy unit facility,healthcare facility
maternity unit facility,healthcare facility
neurology unit facility,healthcare facility
nursing home,healthcare facility
psychiatric unit facility,healthcare facility
discharge unit facility,healthcare facility
hospice,healthcare facility
acute care facility,healthcare facility
coronary care unit facility,healthcare facility
neonatal unit facility,healthcare facility
orthopaedics unit facility,healthcare facility
physiotherapy clinic,healthcare facility
veterinary facility,healthcare facility
oncology unit facility,healthcare facility
traumatic intensive care unit facility,healthcare facility
high dependency unit facility,healthcare facility
high-elevation mountain,high-elevation mountain
UNEP-WCMC class 3 mountain,high-elevation mountain
UNEP-WCMC class 2 mountain,high-elevation mountain
UNEP-WCMC class 1 mountain,high-elevation mountain
layer,layer
atmospheric isobaric surface,layer
ephemeral island,layer
liquid surface layer,layer
interface layer,layer
cay,layer
fluid layer,layer
alkaline flat,layer
sea grass bed,layer
sabkha,layer
desert island,layer
asthenosphere,layer
deep chlorophyll maximum layer,layer
snow layer,layer
anafront,layer
free atmosphere,layer
upper front,layer
skerry,layer
quasi-stationary front,layer
soil biocrust,layer
island,layer
tended pasturable land,layer
mesosphere,layer
oceanic island,layer
oceanic crust,layer
ocean floor,layer
mineral horizon,layer
stratosphere,layer
sedimentary stratum,layer
seam surface,layer
desert pavement,layer
occluded front,layer
cave floor,layer
tertiary atmosphere,layer
fluid surface layer,layer
contaminated land,layer
lake island,layer
liquid surface of an astronomical body,layer
atmosphere,layer
pond bed,layer
pasturable land,layer
low atmospheric level,layer
mangrove island,layer
glacial summer surface,layer
planetary mantle,layer
isothermal surface,layer
rhizoplane,layer
soil layer,layer
thermosphere,layer
artificial island,layer
ionosphere,layer
liquid planetary surface,layer
planetary surface,layer
glacial bed,layer
arable land,layer
warm front,layer
lake bed,layer
dry lake bed,layer
glacial surface layer,layer
solid planetary core,layer
depositional island,layer
forest floor,layer
microcontinental island,layer
impermeable surface layer,layer
surface of an astronomical body,layer
atmospheric layer,layer
thermokarst,layer
atoll,layer
planetary atmosphere,layer
quicksand bed,layer
planetary structural layer,layer
river bed,layer
marine bed,layer
chott,layer
snow-covered land,layer
fluid front,layer
aquifer,layer
secondary atmosphere,layer
ophiolites,layer
barrier island,layer
saline pan,layer
material isosurface,layer
bare soil surface layer,layer
active permafrost layer,layer
exosphere,layer
isohaline surface,layer
mussel bed,layer
ice surface layer,layer
stream bed,layer
liquid air-water interface layer,layer
gaseous surface layer,layer
gaseous front,layer
polar front,layer
warm occluded front,layer
sea floor,layer
land-tied island,layer
Mohorovicic discontinuity,layer
katafront,layer
isopycnal surface,layer
water table,layer
aquatic layer,layer
inner planetary core,layer
troposphere,layer
frozen land,layer
outer planetary core,layer
liquid layer,layer
ozone layer,layer
vadose zone,layer
nitrogen-oxygen planetary atmosphere,layer
regolith,layer
arable or pasturable land,layer
surface layer,layer
reservoir bed,layer
lithosphere,layer
high atmospheric level,layer
frontal surface of a weather front,layer
soil horizon,layer
isobaric surface,layer
planetary landmass,layer
weather front,layer
solid surface layer,layer
intertropical front,layer
continental island,layer
river island,layer
neutral occluded front,layer
biocrust,layer
cryospheric layer,layer
fluid interface layer,layer
planetary crust,layer
cave wall,layer
planetary core,layer
marine faunal bed,layer
landmass,layer
land,layer
cold front,layer
primary atmosphere,layer
middle atmospheric level,layer
submerged bed,layer
solid layer,layer
soil surface layer,layer
secondary cold front,layer
active layer in a cryosphere,layer
continental crust,layer
cold occluded front,layer
organic horizon,layer
tectonic plate,layer
desert spring,layer
neutral spring,layer
calcic spring,layer
drop stone,layer
marine hydrothermal vent,layer
radioactive spring,layer
neutral hot spring,layer
acidic hot spring,layer
ephemeral spring,layer
ocean trench,layer
peninsula,layer
undersea trough,layer
hydrothermal seep,layer
nimbostratus cloud,layer
hot spring,layer
pockmark field,layer
soda spring,layer
talik,layer
salt spring,layer
white smoker,layer
thermokarst depression,layer
arrugado,layer
stratocumulus castellanus cloud,layer
marine hydrothermal vent chimney,layer
black smoker,layer
alum spring,layer
seep,layer
stratocumulus cloud,layer
part of a landmass,layer
calcite hot spring,layer
cumulus cloud,layer
continental margin,layer
alkaline spring,layer
roadside,layer
lithia spring,layer
cold seep,layer
continental rise,layer
geyser,layer
mesophilic sulfur spring,layer
alkaline hot spring,layer
continental slope,layer
mineral spring,layer
spring,layer
stratus cloud,layer
acidic spring,layer
upper air,layer
chalybeate spring,layer
altocumulus cloud,layer
permanent spring,layer
back-arc basin,layer
sulfur spring,layer
continental shelf,layer
cumulonimbus cloud,layer
altostratus cloud,layer
hydrothermal vent,layer
altocumulus castellanus cloud,layer
hand tool,manufactured product
leather dye,manufactured product
cart,manufactured product
mobile intensive care ambulance,manufactured product
closed ecological system,manufactured product
tissue paper,manufactured product
motor boat,manufactured product
unburnt brick,manufactured product
cassette player,manufactured product
utility line,manufactured product
aircraft,manufactured product
spoon,manufactured product
electric lamp,manufactured product
hydraulic fluid,manufactured product
pit latrine with slab floor,manufactured product
vinasse,manufactured product
container,manufactured product
terrarium,manufactured product
dry toilet fixture,manufactured product
boat,manufactured product
wet pitfall trap,manufactured product
face cream product,manufactured product
squeegee,manufactured product
composting toilet,manufactured product
passenger train,manufactured product
toilet bowl,manufactured product
window,manufactured product
bed frame,manufactured product
oil paint thinner,manufactured product
nurse call button,manufactured product
currency note,manufactured product
air conditioning unit,manufactured product
discarded fishing gear,manufactured product
pump,manufactured product
photovoltaic system,manufactured product
animal cage,manufactured product
naphtha,manufactured product
vivarium,manufactured product
varnish,manufactured product
sofa,manufactured product
wheel,manufactured product
vitreous enamel,manufactured product
equipment leg,manufactured product
plumbing fixture,manufactured product
candle,manufactured product
aerobic sulfide-oxidizing bioreactor,manufactured product
paper product,manufactured product
iron sheet,manufactured product
brake fluid,manufactured product
manufactured cage,manufactured product
mobile phone,manufactured product
resin (gum) varnish,manufactured product
thermophilic anaerobic methanogenic reactor,manufactured product
chair,manufactured product
letter paper,manufactured product
airplane,manufactured product
paper dye,manufactured product
electrical switch,manufactured product
tote bag,manufactured product
biomaterial culturing unit,manufactured product
compost biofilter,manufactured product
train,manufactured product
sugarcane vinasse,manufactured product
door,manufactured product
pour-flush toilet fixture,manufactured product
sewing table,manufactured product
dryer,manufactured product
cup,manufactured product
vacuum cleaner,manufactured product
solar panel array,manufactured product
concrete masonry unit,manufactured product
cold-blast paraffin lantern,manufactured product
stain,manufactured product
paraffin lantern,manufactured product
lamp,manufactured product
fork,manufactured product
bus,manufactured product
conveyor belt component,manufactured product
dye,manufactured product
creosote,manufactured product
radio device,manufactured product
membrane bioreactor,manufactured product
animal-drawn cart,manufactured product
manufactured product,manufactured product
eating utensil,manufactured product
lantern,manufactured product
acrylic paint medium,manufactured product
hypodermic needle,manufactured product
subway train,manufactured product
anaerobic dechlorinating bioreactor,manufactured product
food truck,manufactured product
paraffin lamp,manufactured product
desk,manufactured product
framed bed,manufactured product
biological product,manufactured product
anaerobic bioreactor,manufactured product
active enrichment culturing unit,manufactured product
biomaterial containment unit,manufactured product
anaerobic sludge blanket reactor,manufactured product
lacquer,manufactured product
cleaning agent,manufactured product
water filter,manufactured product
mattress,manufactured product
fishing gear,manufactured product
plant pot,manufactured product
tote bin,manufactured product
piece of furniture,manufactured product
bench,manufactured product
textile dye,manufactured product
hot tub,manufactured product
locker,manufactured product
stainless steel,manufactured product
clock,manufactured product
enamel thinner,manufactured product
motorscooter,manufactured product
turpentine,manufactured product
fresh water aquarium,manufactured product
hot-blast paraffin lantern,manufactured product
light switch,manufactured product
active anaerobic enrichment culturing unit,manufactured product
shower fixture,manufactured product
conveyor belt,manufactured product
space station,manufactured product
ferry,manufactured product
motor vehicle,manufactured product
refrigerator,manufactured product
air vent,manufactured product
India ink,manufactured product
ambulance,manufactured product
mantle lamp,manufactured product
chopstick,manufactured product
fermentation starter,manufactured product
touchscreen,manufactured product
recreational cruise ship,manufactured product
television set,manufactured product
truck,manufactured product
battery-powered electric lamp,manufactured product
toilet fixture,manufactured product
merchant vessel,manufactured product
photobioreactor,manufactured product
cloth,manufactured product
aerobic bioreactor,manufactured product
textile,manufactured product
vehicle,manufactured product
packaging machine,manufactured product
pitfall trap,manufactured product
utensil,manufactured product
saline water aquarium,manufactured product
burnt brick,manufactured product
air filter,manufactured product
abandoned fishing gear,manufactured product
active sulphate-reducing enrichment culturing unit,manufactured product
ballast tank,manufactured product
switch,manufactured product
wrench,manufactured product
pit latrine,manufactured product
dry pitfall trap,manufactured product
flush toilet fixture,manufactured product
flat-wick lamp,manufactured product
pallet,manufactured product
fountain pen ink,manufactured product
degreaser,manufactured product
equipment frame,manufactured product
paint thinner,manufactured product
cupboard,manufactured product
table,manufactured product
shredder,manufactured product
spacecraft,manufactured product
sink fixture,manufactured product
clothes dryer,manufactured product
motorcycle,manufactured product
tile,manufactured product
train car,manufactured product
bottle,manufactured product
processed tobacco,manufactured product
steel,manufactured product
wood stain,manufactured product
sheet of paper,manufactured product
latrine slab,manufactured product
smokeless tobacco,manufactured product
stable bandage,manufactured product
door handle,manufactured product
automated teller machine,manufactured product
watercraft,manufactured product
buoy,manufactured product
water tap,manufactured product
public bus,manufactured product
bedclothing,manufactured product
cabinet,manufactured product
landline telephone,manufactured product
device,manufactured product
packaging equipment,manufactured product
bathtub fixture,manufactured product
dead flame paraffin lantern,manufactured product
control panel,manufactured product
oil tank,manufactured product
bed base,manufactured product
bicycle,manufactured product
animal manure product,manufactured product
chemical toilet fixture,manufactured product
public utility line,manufactured product
motor,manufactured product
water truck,manufactured product
water tank,manufactured product
brick,manufactured product
public ferry,manufactured product
peeler,manufactured product
motor oil,manufactured product
manufacturing equipment,manufactured product
microcosm,manufactured product
pneumatic drill,manufactured product
ventilated improved pit latrine,manufactured product
aquarium,manufactured product
shower curtain,manufactured product
tray,manufactured product
latrine,manufactured product
biofilter,manufactured product
electric power system,manufactured product
umbrella,manufactured product
lost fishing gear,manufactured product
medical instrument,manufactured product
bioreactor,manufactured product
public train,manufactured product
telephone,manufactured product
cosmetic product,manufactured product
mesocosm,manufactured product
broiler,manufactured product
pressure lamp,manufactured product
chemical product,manufactured product
taxicab,manufactured product
public subway train,manufactured product
masonry unit,manufactured product
conveyor roller,manufactured product
enrichment culturing unit,manufactured product
cell culturing unit,manufactured product
animal trap,manufactured product
transport boat,manufactured product
automatic transmission fluid,manufactured product
central-draught lamp,manufactured product
car,manufactured product
pour-flush pit latrine,manufactured product
tubular paraffin lantern,manufactured product
bedrail,manufactured product
valley glacier,mass of compounded environmental materials
snow drift,mass of compounded environmental materials
mass of biological material,mass of compounded environmental materials
alpine glacier,mass of compounded environmental materials
seasonal snow patch,mass of compounded environmental materials
stromatolite mat,mass of compounded environmental materials
volcanic crater glacier,mass of compounded environmental materials
snow patch,mass of compounded environmental materials
plateau glacier,mass of compounded environmental materials
tributary glacier,mass of compounded environmental materials
ice piedmont,mass of compounded environmental materials
perennial snow patch,mass of compounded environmental materials
microbial mat,mass of compounded environmental materials
branched valley glacier,mass of compounded environmental materials
simple valley glacier,mass of compounded environmental materials
cirque glacier,mass of compounded environmental materials
biofilm,mass of compounded environmental materials
wood fall,mass of compounded environmental materials
snowpack,mass of compounded environmental materials
organic matter fall,mass of compounded environmental materials
snow mass,mass of compounded environmental materials
tidewater glacier,mass of compounded environmental materials
